term,category,meaning,register,emotion,use_when,respelling_en,ipa_phonemic,ipa_phonetic,jp_kana,origin,language,pitch_semitones,pace_wpm,energy,breathiness,intonation,voice_style_tags,triggers_regex
rawr,Interjection,playful growl,cute,teasing,tease,,,,,community slang,auto,3,170,0.6,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\brawr\b
no thoughts head empty,GenZ,silly blankness,playful,calm,comedy,,,,,community slang,auto,0,155,0.5,0.2,level,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bno\ thoughts\ head\ empty\b
lol,GenZ,laugh,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\blol\b
F,GenZ,pay respects,wholesome,sympathy,loss,,,,,community slang,auto,1,170,0.6,0.25,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bF\b
zesty,GenZ,internet/gen-z slang,edgy,proud,,,,,,community slang,en,-1,185,0.75,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bzesty\b
kakkoii,AnimeJP,cool/handsome,flirty,admire,compliment,kah-koh-EE,,,,community slang,ja,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bkakkoii\b
gap moe,VTuber,cute when out-of-character,cute,surprise,out_of_char,,,,,community slang,auto,3,200,0.9,0.4,peaky-rise,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bgap\ moe\b
EZ,TwitchEmote,taunt easy win,edgy,smug,taunt,,,,,community slang,auto,-1,170,0.6,0.15,fall-rise,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bEZ\b
✂️,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,✂️
supacha / superchat,VTuber,YouTube donation,wholesome,gratitude,donation,,,,,community slang,auto,1,170,0.6,0.25,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\b(supacha|superchat)\b
salty,GenZ,bitter/upset,edgy,annoyed,banter,,,,,community slang,auto,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bsalty\b
🎧,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,🎧
bonk,Interjection,horny-jail joke,edgy,playful,boundaries,,,,,community slang,auto,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bbonk\b
sigma,GenZ,internet/gen-z slang,edgy,proud,,,,,,community slang,en,-1,185,0.75,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bsigma\b
strats,Gaming,gaming term,edgy,tense,,,,,,community slang,en,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bstrats\b
monkaS,TwitchEmote,nervous/tense,edgy,anxious,danger,,,,,community slang,auto,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bmonkaS\b
rizz,GenZ,charisma/flirt skill,flirty,smug,flirt,,,,,community slang,auto,0,170,0.6,0.2,fall-rise,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\brizz\b
*sparkle*,Interjection,action text sparkle,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\*sparkle\*
oomf,GenZ,one of my friends/followers,playful,fond,sns,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\boomf\b
ratio + L,GenZ,extreme dunk,edgy,smug,banter,,,,,community slang,auto,-1,170,0.6,0.15,fall-rise,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,ratio\ \+\ L
(UwU),Emoji/Kaomoji,uwu face,cute,tender,affection,,,,,community slang,auto,3,170,0.6,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\(UwU\)
goblin mode,GenZ,unbothered lazy chaos,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bgoblin\ mode\b
Live2D,VTuber,2D rig tech,neutral,calm,,,,,,community slang,auto,0,155,0.5,0.2,level,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bLive2D\b
multiship,GenZ,ship many pairings,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bmultiship\b
3D reveal,VTuber,first 3D model showcase,hype,joy,,,,,,community slang,auto,2,190,0.8,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\b3D\ reveal\b
tts,VTuber,text-to-speech,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\btts\b
member stream,VTuber,supporters-only stream,comfy,calm,community,,,,,community slang,auto,0,155,0.5,0.25,level,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bmember\ stream\b
itadakimasu,AnimeJP,let’s eat (before meal),wholesome,gratitude,,,,,,community slang,ja,1,170,0.6,0.25,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bitadakimasu\b
💖,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,💖
elo hell,Gaming,gaming term,edgy,tense,,,,,,community slang,en,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\belo\ hell\b
deadass,GenZ,seriously,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bdeadass\b
derank,Gaming,gaming term,edgy,tense,,,,,,community slang,en,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bderank\b
(ಥ﹏ಥ),Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\(ಥ﹏ಥ\)
'sup nerd,Phrase,teasing greet,teasing,fond,greet,,,,,community slang,auto,1,170,0.6,0.35,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,'sup\ nerd
(ᵔᴥᵔ),Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\(ᵔᴥᵔ\)
touch grass,GenZ,log off go outside,teasing,playful,banter,,,,,community slang,auto,1,170,0.6,0.35,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\btouch\ grass\b
ganbatte,AnimeJP,do your best!,support,encourage,cheer,gahn-BAH-teh,,,,community slang,ja,1,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bganbatte\b
desync,Gaming,gaming term,edgy,tense,,,,,,community slang,en,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bdesync\b
girl dinner,GenZ,snack plate meal,playful,fond,food,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bgirl\ dinner\b
suki,AnimeJP,like/love,wholesome,fond,,,,,,community slang,ja,1,170,0.6,0.25,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bsuki\b
gremlin mode,GenZ,chaotic goblin energy,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bgremlin\ mode\b
queen,GenZ,praise address,hype,proud,,,,,,community slang,auto,2,185,0.75,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bqueen\b
drama arc,GenZ,season of drama,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bdrama\ arc\b
¯\_(ツ)_/¯,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,¯\\_\(ツ\)_/¯
yap,GenZ,internet/gen-z slang,edgy,proud,,,,,,community slang,en,-1,185,0.75,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\byap\b
ick-proof,GenZ,internet/gen-z slang,edgy,proud,,,,,,community slang,en,-1,185,0.75,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,ick\-proof
⭐,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,⭐
🍵,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,🍵
kusa / www,AnimeJP,lol/grass (laughter),playful,joy,laugh,KOO-sah,,,,community slang,ja,0,190,0.8,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\b(kusa|www)\b
smurf,GenZ,high-skill new account,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bsmurf\b
bby,GenZ,baby,flirty,fond,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bbby\b
ate,GenZ,performed amazingly,hype,proud,compliment,,,,,community slang,auto,2,185,0.75,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bate\b
lag,Gaming,gaming term,edgy,tense,,,,,,community slang,en,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\blag\b
ohayou,AnimeJP,good morning,wholesome,cheer,greet,oh-HAH-yo,,,,community slang,ja,1,170,0.6,0.25,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bohayou\b
😂,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,😂
nya,Interjection,cat meow,cute,joy,affection,,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bnya\b
mama,VTuber,vtuber/community term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bmama\b
headshot,Gaming,gaming term,edgy,tense,,,,,,community slang,en,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bheadshot\b
😵‍💫,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,😵‍💫
👀,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,👀
beige flag,GenZ,quirky odd trait,playful,fond,dating,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bbeige\ flag\b
icymi,GenZ,in case you missed it,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bicymi\b
fr,GenZ,for real,neutral,serious,agree,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bfr\b
kayfabe,VTuber,vtuber/community term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bkayfabe\b
nyaa,Interjection,drawn-out meow,cute,joy,affection,,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bnyaa\b
fit check,GenZ,outfit review,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bfit\ check\b
feral,GenZ,wild unhinged,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bferal\b
oshi mark,VTuber,emoji representing oshi,playful,fond,fandom,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\boshi\ mark\b
it’s giving,GenZ,the vibe is,playful,fond,fashion,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,it’s\ giving
redeem,VTuber,viewer point reward,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bredeem\b
mod,VTuber,chat moderator,neutral,calm,,,,,,community slang,auto,0,155,0.5,0.2,level,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bmod\b
my beloved,GenZ,adoring phrase,wholesome,tender,,,,,,community slang,auto,1,170,0.6,0.25,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bmy\ beloved\b
oshi cope,VTuber,fans coping for oshi,playful,copium,banter,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\boshi\ cope\b
hard launch,GenZ,full reveal,hype,proud,sns,,,,,community slang,auto,2,185,0.75,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bhard\ launch\b
hard carry,GenZ,one person wins it,hype,proud,victory,,,,,community slang,auto,2,185,0.75,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bhard\ carry\b
tryhard,GenZ,overly serious,edgy,teasing,gaming,,,,,community slang,auto,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\btryhard\b
*sneak*,Interjection,action text sneak,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\*sneak\*
purr,GenZ,internet/gen-z slang,edgy,proud,,,,,,community slang,en,-1,185,0.75,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bpurr\b
thirst trap,GenZ,internet/gen-z slang,edgy,proud,,,,,,community slang,en,-1,185,0.75,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bthirst\ trap\b
😭,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,😭
smol,GenZ,intentionally small/cute,cute,joy,affection,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bsmol\b
living rent-free,GenZ,constantly in mind,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,living\ rent\-free
ate no crumbs,GenZ,internet/gen-z slang,edgy,proud,,,,,,community slang,en,-1,185,0.75,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bate\ no\ crumbs\b
PL account,VTuber,past life account,neutral,calm,lore,,,,,community slang,auto,0,155,0.5,0.2,level,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bPL\ account\b
periodt,GenZ,final emphasis,edgy,assertive,mic_drop,,,,,community slang,auto,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bperiodt\b
lmao,GenZ,laughing my butt off,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\blmao\b
int diff,Gaming,gaming term,edgy,tense,,,,,,community slang,en,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bint\ diff\b
scuff,VTuber,tech issue,playful,resigned,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bscuff\b
tsundere,AnimeJP,cold-but-sweet trope,teasing,shy,banter,TSOON-deh-reh,,,,community slang,ja,1,160,0.4,0.35,short-rise,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\btsundere\b
waifu,AnimeJP,fictional beloved,cute,fond,self-ref,WHY-foo,,,,community slang,en,3,170,0.6,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bwaifu\b
after dark,GenZ,internet/gen-z slang,edgy,proud,,,,,,community slang,en,-1,185,0.75,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bafter\ dark\b
backseat,Gaming,gaming term,edgy,tense,,,,,,community slang,en,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bbackseat\b
heat,GenZ,internet/gen-z slang,edgy,proud,,,,,,community slang,en,-1,185,0.75,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bheat\b
😴,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,😴
husbando,AnimeJP,male beloved,cute,fond,address,hooz-BAHN-doh,,,,community slang,ja,3,170,0.6,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bhusbando\b
🖤,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,🖤
soft,GenZ,gentle cute style,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bsoft\b
gank,GenZ,surprise attack (moba),,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bgank\b
otsukare,AnimeJP,thanks for the hard work,wholesome,gratitude,farewell|end_stream,OHTS-kah-reh,/oːtsɯˈkaɾe/,[o̞tsɯ̟ᵝˈkaɾe],おつかれ,JP phrase,ja,1,170,0.6,0.25,rise-fall,seiso_sweetheart|tsundere_tease|oneesan_sultry,\botsukare\b
vibes,GenZ,general feel,neutral,calm,review,,,,,community slang,auto,0,155,0.5,0.2,level,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bvibes\b
lfg,GenZ,let’s freaking go,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\blfg\b
heck,GenZ,mild expletive,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bheck\b
L,GenZ,loss/bad,edgy,disapproval,disapproval,,,,,community slang,auto,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bL\b
yummers,GenZ,internet/gen-z slang,edgy,proud,,,,,,community slang,en,-1,185,0.75,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\byummers\b
*snuggle*,Interjection,action text cuddle,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\*snuggle\*
🧼,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,🧼
seiso,AnimeJP,pure/wholesome,wholesome,calm,boundaries|brand,SAY-so,,,,community slang,ja,1,155,0.5,0.25,level,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bseiso\b
mald,GenZ,mad + bald,edgy,angry,banter,,,,,community slang,auto,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bmald\b
ate up,GenZ,dominated/performed great,hype,proud,victory,,,,,community slang,auto,2,185,0.75,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bate\ up\b
mugen,AnimeJP,infinite,playful,awe,,,,,,community slang,ja,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bmugen\b
face card,GenZ,great looks,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bface\ card\b
imho,GenZ,in my humble opinion,neutral,calm,preface,,,,,community slang,auto,0,155,0.5,0.2,level,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bimho\b
gatekeep,GenZ,internet/gen-z slang,edgy,proud,,,,,,community slang,en,-1,185,0.75,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bgatekeep\b
ehe,Interjection,embarrassed giggle,cute,shy,fluster,,,,,community slang,auto,3,160,0.4,0.4,short-rise,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\behe\b
goofy,GenZ,internet/gen-z slang,edgy,proud,,,,,,community slang,en,-1,185,0.75,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bgoofy\b
gacha,VTuber,vtuber/community term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bgacha\b
glomp,Interjection,big playful tackle-hug,cute,joy,affection,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bglomp\b
werk,GenZ,perform/confident,hype,proud,cheer,,,,,community slang,auto,2,185,0.75,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bwerk\b
fire,GenZ,internet/gen-z slang,edgy,proud,,,,,,community slang,en,-1,185,0.75,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bfire\b
🆕,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,🆕
wipe,Gaming,gaming term,edgy,tense,,,,,,community slang,en,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bwipe\b
mid,GenZ,mediocre,deadpan,meh,review,,,,,community slang,auto,-2,170,0.6,0.1,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bmid\b
queue dodge,GenZ,leave matchmaking,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bqueue\ dodge\b
KEKW,TwitchEmote,hard laugh,playful,joy,laugh,,,,,community slang,auto,0,190,0.8,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bKEKW\b
pog/poggers,TwitchEmote,hype/excited,hype,joy,clutch,,,,,community slang,auto,2,190,0.8,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\b(pog|poggers)\b
💘,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,💘
desync,GenZ,out-of-sync state,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bdesync\b
raid,VTuber,send viewers to another,hype,joy,farewell,,,,,community slang,auto,2,190,0.8,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\braid\b
hotfix,Gaming,gaming term,edgy,tense,,,,,,community slang,en,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bhotfix\b
thicc,GenZ,curvy,edgy,playful,compliment,,,,,community slang,auto,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bthicc\b
tasukaru / TSKR,AnimeJP,that helps/thanks (fan grat.),flirty,fond,fan_service,tah-SOO-kah-roo,,,,community slang,ja,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\b(tasukaru|TSKR)\b
snacc,GenZ,attractive/cute,flirty,fond,compliment,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bsnacc\b
DMs,GenZ,direct messages,neutral,calm,sns,,,,,community slang,auto,0,155,0.5,0.2,level,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bDMs\b
drip check,GenZ,outfit review,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bdrip\ check\b
💢,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,💢
yandere,AnimeJP,possessive sweet-then-scary,edgy,intense,playful-jealousy,YAN-deh-reh,,,,community slang,ja,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\byandere\b
brainrot,GenZ,obsessed with a thing,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bbrainrot\b
